id;denumire;cod_fiscal;numar_registru_comert;adresa_punct_lucru;telefon;email;persoana_contact;contract;deratizare;dezinsectie;dezinfectie;frecventa_deratizare;frecventa_dezinsectie;frecventa_dezinfectie;companie_id
61a5feb4-1a90-401f-b24e-d82bdd7aa557;go understated ignite;prize;nurse but eek;so fascia indeed;however;Profira.Mihalache@yahoo.com;thorough meanwhile;opposite;true;true;false;12212;12553;10850;1
6302f2d4-aa11-475f-96c8-d5401c3ced24;more elegantly deficit;sociable;thoughtfully against;kindly arrive;conceive corporal;Voicu.Marin76@gmail.com;post;extinction ick pish;true;false;false;8000;2984;30429;2
4e9ad5d9-cc57-4089-b6d8-a2220b50f8dc;hence over;if;heavily;twin yum;exist;Aureliana62@gmail.com;and where huzzah;medium opposite;false;true;false;8570;6841;28801;3
6340b969-bd0c-42cb-999e-9f9fb5425621;sharply;putrid puff ferociously;unaccountably;outside unethically;adverb;Atena3@hotmail.com;liberalise lest pungent;armadillo aw;true;false;false;4775;14989;19683;4
425cd8d9-5ef3-45da-b79d-36e328eaca55;about;tag before furthermore;white;tan;forenenst;Dumitrana58@yahoo.com;absolute unimpressively beyond;keenly breadfruit failing;false;true;false;8620;12088;2416;5
72021e3e-ef6f-4f18-b2c2-220c86a94deb;pish dame;till;vicious loom celebrate;if likely speedily;ick;Mirona14@yahoo.com;excluding;ick concerning author;false;true;false;10383;6065;7446;6
b3fd04ed-3366-4c49-9378-9872db85038b;versus;slip;drapes;stained whoa;fatally octavo;Gabriel.Crisan8@gmail.com;cosset now;partner pish crisis;true;false;false;11327;7907;525;7
04d5aec9-4a86-47fb-829d-5ab66594b0c5;besides mangrove;wriggler ah;but;ha abnegate anenst;wetly rusty;Consuela17@hotmail.com;geez;slowly ferociously which;true;true;false;19002;8122;13999;8
54137867-ba1a-4a94-8848-2d51b79ab201;ew breach;suspiciously whether;rubric;oof indeed dutiful;fast present;Aleodor_Neacsu@yahoo.com;scarily stockpile;if;false;false;false;26510;25050;5228;9
ec8dc320-5ec0-4ee3-82d9-8600449dc61f;instead;after grotesque useless;blank soap;calculate until;huzzah squatter;Ilinca_Petrescu@hotmail.com;intelligent pish regularly;spell oh;false;true;true;6388;455;15387;10
