id;nume;prenume;functie;companie_id
a84bb269-f062-4ffa-be96-d511dd000050;off however;often;ADMIN;1
b499115a-3dc1-4347-9c0c-45861531556d;geez;wherever shearling anniversary;OPERATOR;2
19f30116-ea34-4ffc-8f03-e109bb50d56c;blah pantologist;because refill;SUPERADMIN;3
4b546b2d-d9e1-42dd-a15e-b7f9a0db4424;enable nicely;gadzooks though;SUPERADMIN;4
5d04edc2-66a4-4d18-a037-cc4c564cc71a;psst opposite notwithstanding;whereas however tame;OPERATOR;5
5c4c92ee-f07e-4e04-b8fa-9220ca7c9fb6;soon huzzah;nor form;OPERATOR;6
a553e764-80f3-43b4-955b-f4a34b5a3df8;weakly between disgrace;aw merrily which;SUPERADMIN;7
79ec6d36-9975-4ecd-a2cd-8442120d0d72;fluctuate;embitter oddly dutiful;SUPERADMIN;8
c8da9d92-fba2-400d-b816-e603d23c1d28;confine hazelnut;fairly likely unequaled;ADMIN;9
578e75c9-a200-4581-a690-f9b37dc274c6;ouch;frivolous prance self-reliant;OPERATOR;10
